[15.12.2025 01:52:26] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 01:52:35] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 01:54:39] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 01:55:00] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 01:57:50] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:00:34] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:19:41] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:23:09] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:27:31] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:28:43] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:28:44] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:29:19] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:30:48] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:30:50] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:34:40] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:35:25] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:47:29] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:52:42] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 02:55:48] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:04:16] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:04:16] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:10:36] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:21:25] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:25:04] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:30:23] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:34:50] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:38:41] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:45:37] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:49:00] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:55:43] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:55:43] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:55:51] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 03:58:03] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:09:42] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:14:26] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:14:33] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:17:03] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:20:15] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:20:22] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:26:21] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:38:02] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:38:02] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:41:50] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:42:10] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:45:07] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:48:13] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:50:00] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:52:44] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:54:38] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:57:06] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 04:59:49] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:02:18] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:06:06] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:06:14] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:09:54] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:16:42] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:19:44] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:22:12] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:24:01] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:34:04] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:37:32] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 05:40:00] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 06:04:58] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 06:13:28] [INFO] received Windows console close event; shutting log-core down
